Postcode-4,Inwoners Totaal (x1),Geboren in Nederland met een Nederlandse herkomst (%),Huishouden Totaal (x1),Huishoudgrootte (x1),Woning Totaal (x1),Eigendom Koopwoning (%),"WOZ-waarde
woning (x 1 000 Euro)",Omgevingsadressendichtheid (adressen/km2)
1551,4990,80,2045,2.3,2035,80,408,337
1561,8005,80,4020,2.0,4200,50,276,2299
1562,9025,80,3885,2.3,3870,60,348,1727
1566,13110,80,5480,2.4,5450,70,366,926
1567,11195,70,3755,3.0,3700,80,406,1673
1601,7535,90,3950,1.9,4060,60,284,1354
1602,11085,80,4755,2.3,4815,60,257,1416
1606,4325,90,1785,2.4,1830,70,317,417
1607,1570,80,705,2.2,630,80,335,229
1608,1405,90,580,2.4,570,80,410,86
1609,105,90,45,2.3,50,90,393,25
1611,10160,80,4315,2.3,4255,70,292,1244
1613,9535,80,4105,2.3,4155,70,291,1164
1614,2250,90,945,2.3,885,80,315,607
1616,8345,90,3520,2.3,3625,70,316,849
1617,1815,90,730,2.5,740,80,336,193
1619,7085,80,3055,2.3,2955,70,300,383
1621,5710,80,3240,1.7,3430,50,327,2076
1622,7625,60,3530,2.1,3510,50,237,1090
1623,2550,90,1210,2.1,1215,60,346,1839
1624,5980,70,2780,2.1,2820,50,303,2309
1625,9885,80,4670,2.1,4730,60,273,1837
1627,10,100,5,1.8,5,-99997,-99997,509
1628,20355,70,9035,2.2,8870,60,268,1904
1631,440,90,190,2.3,185,90,363,45
1633,3450,90,1455,2.4,1470,80,327,601
1634,415,90,215,1.9,215,70,301,87
1636,1250,90,550,2.3,560,70,306,173
1641,925,90,400,2.2,455,70,287,167
1642,45,90,20,2.4,20,90,407,148
1643,470,100,180,2.6,170,90,465,113
1645,2980,90,1235,2.4,1255,80,327,297
1646,70,90,25,2.6,30,80,466,112
1647,2580,90,1030,2.5,1105,80,357,222
1648,3710,90,1505,2.4,1485,80,318,656
1652,540,90,205,2.5,205,90,404,49
1654,740,90,310,2.3,305,80,396,120
1655,930,90,375,2.5,375,70,337,132
1657,2045,90,935,2.2,915,70,314,304
1658,175,90,75,2.3,80,90,416,33
1661,440,90,175,2.5,170,90,365,60
1662,320,90,135,2.4,130,70,339,75
1663,115,100,45,2.7,40,90,371,70
1671,8570,80,3885,2.2,3915,60,285,1009
1674,1925,80,795,2.4,790,60,328,275
1676,1090,80,475,2.3,485,70,349,110
1678,890,90,370,2.4,380,80,365,156
1679,2465,80,1115,2.2,1110,70,304,331
1681,300,70,145,2.1,105,90,390,149
1682,205,90,75,2.6,65,90,441,76
1683,195,90,70,2.6,75,80,388,138
1684,510,80,220,2.3,210,80,343,110
1685,460,90,185,2.5,185,80,380,501
1686,115,90,45,2.6,45,90,392,404
