Feature,PC2_Loading
eucl_dist_to_Insulindeweg_square,0.01131084124557639
eucl_dist_to_Bullewijk_square,0.010752110048408252
eucl_dist_to_Diemerparklaan_square,0.010702122565519964
eucl_dist_to_Vennepluimstraat_square,0.009570849683374053
eucl_dist_to_Flevopark_square,0.00850046754151523
eucl_dist_to_Diemerpark_square,0.008399746800802816
eucl_dist_to_Arent Krijtstraat_square,0.007810328283989696
eucl_dist_to_Station Diemen-Zuid_square,0.007048157758210275
eucl_dist_to_Steigereiland_square,0.006456343254833369
eucl_dist_to_Station Holendrecht_square,0.006381472825570651
eucl_dist_to_Station Amsterdam Holendrecht_square,0.006286128789218625
eucl_dist_to_Schellingwouderbreek_square,0.006108262296054041
eucl_dist_to_Gein_square,0.005569214429404473
eucl_dist_to_Gaasperplas_square,0.0048669457483023525
eucl_dist_to_Nelson Mandelapark_square,0.003929675194098478
eucl_dist_to_Diemerbrug_square,0.0037734129189237655
eucl_dist_to_Kraaiennest station_square,0.0033619383072567306
eucl_dist_to_Bob Haarmslaan_square,0.0020553936776341
eucl_dist_to_Zuiderzeeweg_square,0.0015742375002907418
eucl_dist_to_Verrijn Stuartweg_square,0.0014186209491063963
eucl_dist_to_Station Ganzenhoef_square,0.0011876854646258816
eucl_dist_to_Brasapark_square,0.0009842936180965314
eucl_dist_to_Diemen Sniep_square,0.0003925551655352496
eucl_dist_to_Reigersbos_square,0.0001562083569594031
